site,country,locality,latitude,longitude
1,ES,Madrid,40.4168,-3.7038
2,ES,Barcelona,41.3874,2.1686
3,ES,Sevilla,37.3886,-5.9823
4,ES,Valencia,39.4699,-0.3763
5,ES,Bilbao,43.2630,-2.9350
6,PT,Lisboa,38.7169,-9.1399
7,PT,Porto,41.1496,-8.6109
8,PT,Coimbra,40.2033,-8.4103
9,PT,Faro,37.0179,-7.9350
10,PT,Braga,41.5454,-8.4265
11,FR,Paris,48.8566,2.3522
12,FR,Lyon,45.7640,4.8357
13,FR,Marseille,43.2965,5.3698
14,FR,Toulouse,43.6047,1.4442
15,FR,Bordeaux,44.8378,-0.5792
16,FR,Nice,43.7102,7.2620
17,FR,Strasbourg,48.5734,7.7521
18,FR,Lille,50.6292,3.0573
19,FR,Nantes,47.2184,-1.5536
20,FR,Grenoble,45.1885,5.7245
